abalo sísmico, 443
acampamento militar, 55
agente secreto, 487
alarme falso, 472
algodão-doce, 486
alta temporada, 487
alta-costura, 496
alto mar, 495
alto-falante, 484
amigo oculto, 491
amigo secreto, 476
amor-próprio, 483
ano-novo, 486
ar condicionado, 489
ar livre, 492
arma branca, 498
ato falho, 479
banho turco, 39
batata-doce, 485
bebida alcoólica, 489
bode expiatório, 500
braço direito, 493
buraco negro, 487
café colonial, 492
caixa-forte, 484
caixa-preta, 500
caixeiro viajante, 85
carne branca, 200
carne vermelha, 483
carro-forte, 482
carta aberta, 479
centro comercial, 494
centro espírita, 475
cerca viva, 94
cheiro-verde, 492
circuito integrado, 68
coluna social, 153
colégio militar, 498
comida caseira, 485
companhia aérea, 495
compound, 498
conta-corrente, 496
coração partido, 493
corda bamba, 477
cordas vocais, 483
curto-circuito, 489
câmara fria, 186
céu aberto, 499
círculo vicioso, 493
círculo virtuoso, 497
deputado federal, 498
desfile militar, 494
direitos humanos, 493
disco rígido, 495
disco voador, 492
efeito especial, 461
elefante branco, 490
escada rolante, 488
estrela cadente, 482
exame clínico, 134
exame laboratorial, 46
farinha integral, 114
febre amarela, 493
ficha limpa, 497
fila indiana, 362
fio condutor, 230
força bruta, 497
gato-pingado, 475
gelo-seco, 475
golpe baixo, 481
governo federal, 500
gripe aviária, 499
gripe suína, 359
guarda-florestal, 499
jogo duro, 495
juízo final, 477
leite integral, 449
lista negra, 473
livre-docente, 63
livro aberto, 470
longa data, 484
longa-metragem, 492
lua cheia, 490
lua nova, 479
lugar-comum, 491
magia negra, 486
mar aberto, 484
maré alta, 474
maré baixa, 333
massa cinzenta, 489
mau contato, 291
mau-humor, 488
mau-olhado, 466
mercado negro, 493
mesa-redonda, 499
montanha-russa, 492
má-fé, 498
máquina virtual, 487
mão-fechada, 487
navio negreiro, 184
novo mundo, 489
novo-rico, 486
nó cego, 490
núcleo atômico, 47
olho gordo, 477
olho mágico, 480
olho nu, 490
ovelha negra, 478
papel higiênico, 500
paraíso fiscal, 500
pastor alemão, 486
pau-mandado, 492
pavio curto, 473
pente fino, 496
peso morto, 486
planta baixa, 495
ponto cego, 486
ponto forte, 480
ponto fraco, 477
poção mágica, 181
prato feito, 484
primeira infância, 491
primeira mão, 496
primeira necessidade, 262
primeira-dama, 499
primeiro ministro, 499
primeiro plano, 487
processo seletivo, 481
pronto-socorro, 483
príncipe encantado, 484
puro-sangue, 496
pão-duro, 483
pé quente, 496
pé-direito, 496
pé-frio, 498
pólo-aquático, 494
quadro-negro, 335
queda livre, 485
quinta categoria, 493
rede social, 491
regime político, 499
relógio analógico, 232
relógio biológico, 488
reta final, 497
roda gigante, 484
roleta russa, 482
saia justa, 489
sala cirúrgica, 65
salão paroquial, 147
sangue azul, 488
sangue frio, 484
sangue quente, 482
secretária eletrônica, 113
segundas intenções, 479
segundo plano, 490
sentença judicial, 195
sexto sentido, 484
sinal verde, 493
sistema político, 499
sétima arte, 486
tapete vermelho, 496
tartaruga-marinha, 496
tela plana, 241
tempo real, 494
terceira idade, 486
terceira pessoa, 486
tiro livre, 382
trabalho braçal, 488
trabalho escravo, 486
vaca louca, 488
vinho branco, 478
vinho tinto, 487
vista grossa, 499
viva voz, 486
voto secreto, 498
vôo doméstico, 148
vôo internacional, 497
água doce, 497
água mineral, 496
ônibus executivo, 96








